Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/aha/aha_1.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/aha/aha_2.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
