Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/denver/042825_1.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/denver/043025_2.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/denver/122425prodimage3.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/denver/042825_4.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
