type,name,url,duration,trigger,start_date,end_date,start_time,end_time
photo,Saucony,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/sauconyx_runasone.jpg,,,,,,
photo,Foot Finder,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/footfinder.jpg,,,,,,
photo,VIP Rewards,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/viprewards.jpg,,,,,,
photo,AHA,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/aha.jpg,,,,,,
video,WelcomeVIP,https://raw.githubusercontent.com/pwalkrrs/brightsign/main/assets/nil_vip_4k.mp4,,WelcomeVIP,,,,
photo,AHA Trigger,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/trigger_media/ahatrigger.jpg,,AHA,,,,
video,Saucony Trigger,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/trigger_media/saucony.mov,,Saucony,,,,
